cluster,role,n_total,n_initial,n_medial,n_final,n_only,pct_initial,ci_init_lo,ci_init_hi,pct_medial,ci_med_lo,ci_med_hi,pct_final,ci_fin_lo,ci_fin_hi,chi2,p_chi2,df
shor,MODE,92,19,69,4,0,0.20652173913043478,0.13639031262233317,0.30018002844042035,0.75,0.6527099456658312,0.8272486526881195,0.043478260869565216,0.01703544061158062,0.10651842326381375,75.54347826086956,0.0,2
chor,MODE,200,10,187,3,0,0.05,0.027382349028644986,0.08957905629784384,0.935,0.8919799625008207,0.9616240123502404,0.015,0.005114145184492387,0.043166480556278884,326.16999999999996,0.0,2
cheol,MODE,164,6,153,5,0,0.036585365853658534,0.016873104917696027,0.07751112402197088,0.9329268292682927,0.883897509159463,0.9621382769626905,0.03048780487804878,0.013091251114609858,0.06937698083742111,265.32926829268297,0.0,2
sheol,MODE,108,4,99,3,2,0.05555555555555555,0.02570737919718203,0.11593580187318892,0.9166666666666666,0.8491694181597665,0.9555400995867606,0.046296296296296294,0.019934521435234435,0.1038262259074359,165.38888888888889,0.0,2
aiin,TIME,444,0,420,24,0,0.0,0,0.00857803294736353,0.9459459459459459,0.9208310078507776,0.9634102060069792,0.05405405405405406,0.03658979399302076,0.07916899214922239,751.7837837837837,0.0,2
aiiin,TIME,41,0,39,2,0,0.0,0,0.08567044886890744,0.9512195121951219,0.8386073303764864,0.9865193377174265,0.04878048780487805,0.013480662282573552,0.16139266962351367,70.58536585365854,4.440892098500626e-16,2
saiin,TIME,109,51,50,8,0,0.46788990825688076,0.37691168989272644,0.5610544502541698,0.45871559633027525,0.3681700378293714,0.5520721423594952,0.07339449541284404,0.03765663179125689,0.1381792301603638,33.15596330275229,6.313556155657096e-08,2
otaiin,TIME,148,6,132,9,1,0.0472972972972973,0.023096704287251545,0.0944046919045694,0.8918918918918919,0.8316008768055804,0.9323531384313507,0.06756756756756757,0.037111819808935645,0.11990443923996798,207.9459459459459,0.0,2
ol,REF,504,27,447,30,0,0.05357142857142857,0.03707538540188167,0.07682154623979558,0.8869047619047619,0.8562773236835614,0.9116786688936517,0.05952380952380952,0.04200942803877042,0.08370221118101781,695.0357142857143,0.0,2
or,REF,340,30,296,14,0,0.08823529411764706,0.06250431801990472,0.12316722375979852,0.8705882352941177,0.8307281274055661,0.9021674849927009,0.041176470588235294,0.024683675198928924,0.06792175706988321,442.75294117647064,0.0,2
al,REF,246,1,213,32,0,0.0040650406504065045,0.0007179217908880337,0.022663292546516146,0.8658536585365854,0.817594906475425,0.9028615747510801,0.13008130081300814,0.09367030264509704,0.17786814411477006,319.7804878048781,0.0,2
